manager,player,mult
Avi,Matthew Stafford,1.5
Avi,James Cook,1.5
Avi,Kyren Williams,1.5
Avi,Davante Adams,1.25
Avi,Puka Nacua,1.5
Avi,Jake Tonges,1.25
Avi,Christian McCaffrey,1.5
Avi,Jaxon Smith-Njigba,1.25
Avi,Matt Prater,1.25
Avi,Rams Defense,1.5
Alex,Sam Darnold,1.25
Alex,James Cook,1.5
Alex,Kyren Williams,1.5
Alex,Puka Nacua,1.5
Alex,Stefon Diggs,1.5
Alex,Evan Engram,1.25
Alex,Kenneth Walker III,1.25
Alex,Jaxon Smith-Njigba,1.25
Alex,Wil Lutz,1.25
Alex,Broncos Defense,1.5
Daniel,Matthew Stafford,1.5
Daniel,Woody Marks,1.25
Daniel,Zach Charbonnet,1.25
Daniel,Christian Kirk,1.25
Daniel,Puka Nacua,1.5
Daniel,Colston Loveland,1.25
Daniel,Christian McCaffrey,1.5
Daniel,Jaxon Smith-Njigba,1.25
Daniel,Ka'imi Fairbairn,1.5
Daniel,Texans Defense,1.5
3rd & Dinklage ,Matthew Stafford,1.5
3rd & Dinklage ,RJ Harvey,1.25
3rd & Dinklage ,Kyren Williams,1.5
3rd & Dinklage ,Puka Nacua,1.5
3rd & Dinklage ,Stefon Diggs,1.25
3rd & Dinklage ,Evan Engram,1.25
3rd & Dinklage ,Christian McCaffrey,1.25
3rd & Dinklage ,Jaxon Smith-Njigba,1.25
3rd & Dinklage ,Andy Borregales,1.5
3rd & Dinklage ,Rams Defense,1.5
Chris,Drake Maye,1.5
Chris,James Cook,1.5
Chris,TreVeyon Henderson,1.25
Chris,Puka Nacua,1.5
Chris,Jaxon Smith-Njigba,1.5
Chris,Hunter Henry,1.5
Chris,Christian McCaffrey,1.5
Chris,Jauan Jennings,1.25
Chris,Eddy Pineiro,1.5
Chris,Patriots Defense,1.25
Torn ACL,Josh Allen,1.5
Torn ACL,James Cook,1.5
Torn ACL,Kyren Williams,1.5
Torn ACL,Puka Nacua,1.5
Torn ACL,Jaxon Smith-Njigba,1.25
Torn ACL,Colston Loveland,1.5
Torn ACL,Kenneth Walker III,1.25
Torn ACL,Christian McCaffrey,1.5
Torn ACL,Andy Borregales,1.5
Torn ACL,Seahawks Defense,1.25
Andrew,Matthew Stafford,1.5
Andrew,James Cook,1.5
Andrew,TreVeyon Henderson,1.5
Andrew,Nico Collins,1.5
Andrew,Puka Nacua,1.5
Andrew,Dalton Kincaid,1.25
Andrew,Christian McCaffrey,1.5
Andrew,Jaxon Smith-Njigba,1.25
Andrew,Matt Prater,1.25
Andrew,Broncos Defense,1.5
Dan_Fisher,Josh Allen,1.5
Dan_Fisher,James Cook,1.5
Dan_Fisher,Kyren Williams,1.5
Dan_Fisher,Khalil Shakir,1.25
Dan_Fisher,Puka Nacua,1.5
Dan_Fisher,Colston Loveland,1.5
Dan_Fisher,Zach Charbonnet,1.25
Dan_Fisher,Jaxon Smith-Njigba,1.25
Dan_Fisher,Harrison Mevis,1.5
Dan_Fisher,Rams Defense,1.5
Mike Hunt,Bo Nix,1.25
Mike Hunt,James Cook,1.5
Mike Hunt,RJ Harvey,1.25
Mike Hunt,Puka Nacua,1.5
Mike Hunt,Jaxon Smith-Njigba,1.25
Mike Hunt,Colston Loveland,1.5
Mike Hunt,Kyren Williams,1.5
Mike Hunt,Christian McCaffrey,1.25
Mike Hunt,Jason Myers,1.25
Mike Hunt,Texans Defense,1.5
